stock,option type,strike price,expiration date,days to expiration,current price,dividend,annualized volatility,open interest,last option price,10 branch binomial equation,150 branch binomial equation,option valuation,Days Til ER,StrikeBLow,ExAfterEarnings,premium plus,mean diff,actual spread
AFL,CALL,65.0,2022-03-18,19,61.95,0.025799999,0.20169357741162544,1108,0.35,0.258146,0.251887,0.73756,59,N,N,0.0054,0.2713814285714285,-80.0
AFRM,CALL,45.0,2022-03-11,12,39.19,0,0.9968504718790221,2527,0.97,0.984609,0.986223,1.016724,71,N,N,0.0216,0.015892783505154624,-7.5269
AFRM,CALL,40.0,2022-03-18,19,39.19,0,0.9968504718790221,1222,3.33,3.238865,3.248312,0.975469,71,N,N,0.0833,0.025949399399399425,-4.6154
AFRM,CALL,45.0,2022-03-18,19,39.19,0,0.9968504718790221,8763,1.61,1.552205,1.618212,1.005101,71,N,N,0.0358,0.020499068322981342,-6.4103
AFRM,CALL,50.0,2022-03-18,19,39.19,0,0.9968504718790221,6876,0.77,0.771517,0.747512,1.00197,71,N,N,0.0154,0.015587662337662372,-5.3333
AFRM,CALL,55.0,2022-03-18,19,39.19,0,0.9968504718790221,1831,0.38,0.320031,0.32148,0.845999,71,N,N,0.0069,0.15590657894736842,-11.1111
AFRM,CALL,60.0,2022-03-18,19,39.19,0,0.9968504718790221,1843,0.21,0.099082,0.133993,0.638061,71,N,N,0.0035,0.4450595238095238,-21.0526
AFRM,CALL,65.0,2022-03-18,19,39.19,0,0.9968504718790221,1276,0.13,0.045916,0.053354,0.410416,71,N,N,0.002,0.6181923076923077,-27.2727
AFRM,CALL,45.0,2022-04-14,46,39.19,0,0.9968504718790221,1134,3.28,3.654345,3.544241,1.11413,71,N,N,0.0729,0.09734542682926837,-4.6875
AFRM,CALL,50.0,2022-04-14,46,39.19,0,0.9968504718790221,1202,2.09,2.256198,2.331627,1.115611,71,N,N,0.0418,0.0975657894736843,-4.902
AFRM,CALL,60.0,2022-04-14,46,39.19,0,0.9968504718790221,2079,0.86,0.9242,0.982824,1.142819,71,N,N,0.0143,0.10873488372093028,-9.7561
AFRM,CALL,65.0,2022-04-14,46,39.19,0,0.9968504718790221,1070,0.58,0.605165,0.630401,1.086899,71,N,N,0.0089,0.06514310344827588,-10.9091
AFRM,CALL,90.0,2022-04-14,46,39.19,0,0.9968504718790221,1050,0.13,0.055668,0.068421,0.526315,71,N,N,0.0014,0.5227346153846154,-233.3333
AFRM,CALL,100.0,2022-04-14,46,39.19,0,0.9968504718790221,1563,0.11,0.011649,0.028225,0.256588,71,N,N,0.0011,0.8187545454545455,-33.3333
AFRM,PUT,25.0,2022-03-18,19,39.19,0,0.9968504718790221,3708,0.27,0.044885,0.060832,0.225304,71,Y,N,0.0108,0.8042277777777778,-7.6923
AFRM,PUT,30.0,2022-03-18,19,39.19,0,0.9968504718790221,4465,0.78,0.435828,0.446158,0.571997,71,Y,N,0.026,0.434624358974359,-5.2632
AFRM,PUT,35.0,2022-03-18,19,39.19,0,0.9968504718790221,3934,1.94,1.663856,1.632091,0.857658,71,N,N,0.0554,0.1505291237113402,-3.1414
AFRM,PUT,40.0,2022-03-18,19,39.19,0,0.9968504718790221,5303,4.13,3.949969,3.951863,0.956868,71,N,N,0.1032,0.043361743341404364,-3.7037
AFRM,PUT,45.0,2022-03-18,19,39.19,0,0.9968504718790221,8034,7.45,7.256485,7.31789,0.982267,71,N,N,0.1656,0.021854026845637618,-2.7211
AFRM,PUT,50.0,2022-03-18,19,39.19,0,0.9968504718790221,6247,11.63,11.478078,11.450005,0.986937,71,N,N,0.2326,0.014269862424763571,-2.1739
AFRM,PUT,55.0,2022-03-18,19,39.19,0,0.9968504718790221,2249,16.25,16.044011,16.035059,0.987324,71,N,N,0.2955,0.012951692307692261,-1.8634
AFRM,PUT,60.0,2022-03-18,19,39.19,0,0.9968504718790221,3097,21.08,20.846108,20.866005,0.989848,71,N,N,0.3513,0.010623505692599488,-1.6746
AFRM,PUT,75.0,2022-03-18,19,39.19,0,0.9968504718790221,2341,35.9,35.81,35.81,0.997493,71,N,N,0.4787,0.002506963788300733,-1.1204
AFRM,PUT,85.0,2022-03-18,19,39.19,0,0.9968504718790221,1386,45.9,45.81,45.81,0.998039,71,N,N,0.54,0.00196078431372541,-0.6557
AFRM,PUT,100.0,2022-03-18,19,39.19,0,0.9968504718790221,3787,60.9,60.81,60.81,0.998522,71,N,N,0.609,0.0014778325123152103,-0.8244
AFRM,PUT,120.0,2022-03-18,19,39.19,0,0.9968504718790221,1048,80.88,80.81,80.81,0.999135,71,N,N,0.674,0.0008654797230464044,-0.6824
A,CALL,145.0,2022-03-18,19,133.73,0.0063,0.22596162659751115,1291,0.45,0.205133,0.20343,0.45585,85,N,N,0.0031,0.5460411111111111,-57.1429
AA,CALL,50.0,2022-03-18,19,77.85,0.0050999997,0.6027712972174836,1385,27.75,27.992946,27.994231,1.008801,45,N,N,0.555,0.008777963963963947,-2.5547
AA,CALL,60.0,2022-03-18,19,77.85,0.0050999997,0.6027712972174836,4866,18.05,18.089647,18.121049,1.003936,45,N,N,0.3008,0.0030663711911356577,-2.809
AA,CALL,65.0,2022-03-18,19,77.85,0.0050999997,0.6027712972174836,3282,13.55,13.40304,13.446258,0.992344,45,N,N,0.2085,0.009250996309963115,-4.5283
AA,CALL,70.0,2022-03-18,19,77.85,0.0050999997,0.6027712972174836,3464,9.35,9.28529,9.282885,0.993079,45,N,N,0.1336,0.0070494652406416685,-5.4945
AA,CALL,75.0,2022-03-18,19,77.85,0.0050999997,0.6027712972174836,8393,6.03,5.985828,5.898286,0.992675,45,N,N,0.0804,0.01458424543946941,-4.2373
AA,CALL,80.0,2022-03-18,19,77.85,0.0050999997,0.6027712972174836,3563,3.65,3.501478,3.430092,0.959309,45,N,N,0.0456,0.050469863013698574,-5.6338
AA,CALL,85.0,2022-03-18,19,77.85,0.0050999997,0.6027712972174836,1575,2.05,1.7301,1.82358,0.889551,45,N,N,0.0241,0.1332487804878048,-9.7436
AA,CALL,90.0,2022-03-18,19,77.85,0.0050999997,0.6027712972174836,2033,1.14,0.931386,0.899094,0.817005,45,N,N,0.0127,0.19715789473684203,-10.1852
AA,CALL,100.0,2022-03-18,19,77.85,0.0050999997,0.6027712972174836,2650,0.34,0.146966,0.170937,0.502757,45,N,N,0.0034,0.5324955882352941,-34.4828
AA,CALL,110.0,2022-03-18,19,77.85,0.0050999997,0.6027712972174836,1971,0.11,0.010476,0.025502,0.231839,45,N,N,0.001,0.8364636363636364,-20.0
