Company Name,Ticker,Market Cap (mil),Optionable,Div. Yield %,Next EPS Report Date  (yyyymmdd)
"Agilent Technologies","A","30095.53","YES",".87","20231120"
"Alcoa","AA","4467.15","YES","1.6","20240117"
"American Airlines","AAL","7280.44","YES","0","20240125"
"AAON","AAON","4612.57","YES",".57","20231106"
"Advance Auto Parts","AAP","3065.69","YES","1.94","20231115"
"Apple","AAPL","2719887.5","YES",".55","20231102"
"AllianceBernstein","AB","3223.84","YES","8.59","20240214"
"ABB","ABBNY","63376.43","YES","1.65","20240201"
"AbbVie","ABBV","251466.2","YES","4.16","20240208"
"Ameris Bancorp","ABCB","2636.28","YES","1.57","20240125"
"Ambev","ABEV","40635.56","YES","4.75","20240307"
"Asbury Automotive Group","ABG","4040.16","YES","0","20240201"
"ABM Industries","ABM","2579.35","YES","2.24","20231212"
"Airbnb","ABNB","77330.98","YES","0","20240213"
"Arbor Realty Trust","ABR","2337.42","YES","13.87","20240216"
"Abbott Laboratories","ABT","164876.36","YES","2.15","20240124"
"Arcosa","ACA","3391.87","YES",".29","20240222"
"ACADIA Pharmaceuticals","ACAD","3752.69","YES","0","20231102"
"Arch Capital Group","ACGL","33565.89","YES","0","20240212"
"Acadia Healthcare","ACHC","6771.86","YES","0","20231102"
"Albertsons Companies","ACI","12531.43","YES","2.21","20240109"
"ACI Worldwide","ACIW","2198.06","YES","0","20231102"
"Axcelis Technologies","ACLS","4184.23","YES","0","20240214"
"AECOM","ACM","10566.82","YES",".95","20231113"
"Accenture","ACN","188783.16","YES","1.72","20231215"
"Enact Holdings","ACT","4423.83","YES","2.31","20240205"
"ACV Auctions","ACVA","2160.58","YES","0","20231106"
"Adobe","ADBE","247910.84","YES","0","20231221"
"Agree Realty","ADC","5751.74","YES","5.18","20240213"
"Analog Devices","ADI","79351.52","YES","2.16","20231121"
"Archer Daniels Midland","ADM","38067.42","YES","2.52","20240125"
"Adient","ADNT","3180.09","YES","0","20231108"
"Automatic Data Processing","ADP","86666.55","YES","2.38","20240124"
"Autodesk","ADSK","42524","YES","0","20231128"
"ADT","ADT","5140.44","YES","2.51","20231102"
"Ameren","AEE","20189.67","YES","3.28","20231108"
"Aegon","AEG","12974.49","YES","5.3","20231109"
"Advanced Energy Industries","AEIS","3185.28","YES",".47","20240214"
"American Equity Investment Life Holding","AEL","4154.6","YES",".04","20231107"
"Agnico Eagle Mines","AEM","23329.48","YES","3.4","20240215"
"American Eagle Outfitters","AEO","3481.64","YES","2.27","20231128"
"American Electric Power","AEP","39400.66","YES","4.34","20231102"
"Aercap","AER","14501.37","YES","0","20240307"
"AES","AES","9943.99","YES","4.47","20231103"
"American Financial Group","AFG","9430.05","YES","2.56","20240207"
"Aflac","AFL","46960.64","YES","2.13","20240207"
"Affirm","AFRM","5270.62","YES","0","20231108"
"AGCO","AGCO","8803.61","YES",".99","20240206"
"Alamos Gold","AGI","4938.12","YES",".8","20240228"
"Agilon Health","AGL","6840.48","YES","0","20231102"
"AGNC Investment","AGNC","4703.16","YES","18.56","20240129"
"Assured Guaranty","AGO","3734.05","YES","1.76","20231107"
"Avangrid","AGR","11854.53","YES","5.74","20240220"
"Agilysys","AGYS","2203.42","YES","0","20240123"
"C3.ai","AI","2833.3","YES","0","20231206"
"American International Group","AIG","44173.38","YES","2.32","20240221"
"Albany International","AIN","2563.39","YES","1.22","20231106"
"AAR","AIR","2102.17","YES","0","20231219"
"Apartment Income REIT","AIRC","4260.33","YES","6.3","20231102"
"Applied Industrial Technologies","AIT","6018.27","YES",".9","20240125"
"Assurant","AIZ","8827.27","YES","1.68","20240206"
"Arthur J. Gallagher & Co.","AJG","51235.23","YES",".93","20240125"
"Akamai Technologies","AKAM","15761.5","YES","0","20231107"
"Air Lease","AL","3859.31","YES","2.3","20231106"
"Albemarle","ALB","14428.96","YES","1.3","20240221"
"Alcon","ALC","35660.99","YES","0","20231121"
"Allete","ALE","3094.33","YES","5.03","20231102"
"Allegro MicroSystems","ALGM","4955.62","YES","0","20231102"
"Align Technology","ALGN","14021.74","YES","0","20240207"
"Alight","ALIT","4090.38","YES","0","20240220"
"Alaska Air Group","ALK","3954.14","YES","0","20240125"
"Alkermes","ALKS","4095.27","YES","0","20240215"
"Allstate","ALL","33939.2","YES","2.74","20240207"
"Allegion","ALLE","8683.95","YES","1.82","20240228"
"Ally Financial","ALLY","7329.62","YES","4.94","20240119"
"Alnylam Pharmaceuticals","ALNY","19625.1","YES","0","20231102"
"Alarm.com","ALRM","2514.27","YES","0","20231109"
"Allison Transmission Holdings","ALSN","4610.25","YES","1.79","20240221"
"Altair Engineering","ALTR","5044.84","YES","0","20231102"
"Autoliv","ALV","7819.06","YES","2.84","20240126"
"Antero Midstream","AM","6063.57","YES","7.12","20240221"
"Applied Materials","AMAT","113580.52","YES",".95","20231116"
"Ardagh Metal Packaging","AMBP","2019.85","YES","11.83","20240222"
"Amcor","AMCR","12598.47","YES","5.63","20240206"
"Advanced Micro Devices","AMD","174557.14","YES","0","20240130"
"AMETEK","AME","32865.73","YES",".7","20240201"
"Amedisys","AMED","2983.99","YES","0","20240221"
"Affiliated Managers Group","AMG","4319.88","YES",".03","20231106"
"Amgen","AMGN","139595.84","YES","3.27","20240130"
"American Homes 4 Rent","AMH","11917.08","YES","2.67","20231102"
"Amkor Technology","AMKR","5406.78","YES","1.36","20240212"
"AMN Healthcare Services","AMN","2904.19","YES","0","20231102"
"Ameriprise Financial","AMP","32586.87","YES","1.7","20240124"
"Amphastar Pharmaceuticals","AMPH","2193.39","YES","0","20231106"
"Alpha Metallurgical Resources","AMR","3389.08","YES",".9","20231102"
"American Tower","AMT","83152.82","YES","3.63","20240222"
"America Movil, S.A.B. de C.V. Unsponsored ADR","AMX","52458.6","YES","1.64","20240213"
"Amazon.com","AMZN","1415762.25","YES","0","20240201"
"AutoNation","AN","5653.1","YES","0","20240216"
"Arista Networks","ANET","65592.35","YES","0","20240212"
"Abercrombie & Fitch","ANF","3128.69","YES","0","20231121"
"ANSYS","ANSS","24193.01","YES","0","20240228"
"Aon","AON","62417.45","YES",".79","20240202"
"A. O. Smith","AOS","10656.24","YES","1.81","20240130"
"APA","APA","12170.78","YES","2.52","20240228"
"Artisan Partners Asset Management","APAM","2478.25","YES","7.23","20240130"
"Air Products and Chemicals","APD","62959.18","YES","2.47","20231107"
"APi Group","APG","6078.56","YES","0","20231102"
"Amphenol","APH","48840.06","YES","1.03","20240124"
"Apple Hospitality REIT","APLE","3619.6","YES","6.07","20231107"
"Apellis Pharmaceuticals","APLS","5875.09","YES","0","20240220"
"Apollo Global Management","APO","47413.59","YES","2.06","20240208"
"AppLovin","APP","12764.1","YES","0","20231108"
"AppFolio","APPF","6563.94","YES","0","20240125"
"Appian","APPN","2861.07","YES","0","20231102"
"Aptiv","APTV","24345.51","YES","0","20231102"
"Algonquin Power & Utilities","AQN","3631.02","YES","8.24","20231110"
"Antero Resources","AR","8950.2","YES","0","20240221"
"ArcBest","ARCB","2748.22","YES",".42","20240202"
"Ares Capital","ARCC","10927.49","YES","10.01","20240206"
"Arch Resources","ARCH","2811.26","YES",".65","20240215"
"Alexandria Real Estate Equities","ARE","16143.74","YES","5.34","20240129"
"Ares Management","ARES","30972.78","YES","3.03","20240208"
"Argenx","ARGX","29230.88","YES","0","20240307"
"Alliance Resource Partners","ARLP","2942.95","YES","12.1","20240129"
"Aramark","ARMK","7108.4","YES","1.62","20231114"
"Archrock","AROC","2062.67","YES","4.7","20240220"
"Array Technologies","ARRY","2530.42","YES","0","20231107"
"Arrow Electronics","ARW","6328.84","YES","0","20231102"
"Arrowhead Pharmaceuticals","ARWR","2764.5","YES","0","20231127"
"Sendas Distribuidora","ASAI","3021.87","YES",".74","20240215"
"Asana","ASAN","3945.41","YES","0","20231207"
"Associated BancCorp","ASB","2440.7","YES","5.19","20240125"
"ASGN","ASGN","4034.14","YES","0","20240214"
"Ashland Inc.","ASH","3884.07","YES","2.03","20231106"
"ASML Holding","ASML","240016.91","YES",".86","20240124"
"Ascendis Pharma","ASND","5234.64","YES","0","20231107"
"Academy Sports and Outdoors","ASO","3322.76","YES",".81","20231206"
"Grupo Aeroportuario del Sureste","ASR","6651.3","YES","2.29","20240222"
"ASE Technology","ASX","16639.2","YES","5.57","20240208"
"Adtalem Global Education","ATGE","2136.8","YES","0","20240201"
"Autohome","ATHM","3286.77","YES","2.22","20231102"
"ATI Inc.","ATI","4800.07","YES","0","20231102"
"Atkore","ATKR","4896.19","YES","0","20231117"
"Atmos Energy","ATO","16133.42","YES","2.72","20231108"
"AptarGroup","ATR","8086.49","YES","1.33","20240215"
"ATS Corporation","ATS","3291.05","YES","0","20231108"
"Atlantic Union Bankshares","AUB","2163.89","YES","4.16","20240123"
"Reinvent Technology Partners Y","AUR","2687.98","YES","0","20240221"
"Avista","AVA","2580.43","YES","5.46","20240228"
"AeroVironment","AVAV","3073.61","YES","0","20231205"
"AvalonBay Communities","AVB","23272.09","YES","4.03","20240214"
"Broadcom","AVGO","352038.63","YES","2.16","20231214"
"Avient","AVNT","2864.49","YES","3.15","20231102"
"Avnet","AVT","4213.36","YES","2.69","20240207"
"Avantor","AVTR","11775.88","YES","0","20240202"
"Avery Dennison","AVY","14010.94","YES","1.86","20240201"
"Armstrong World Industries","AWI","3410.72","YES","1.45","20240220"
"American Water Works","AWK","23126.63","YES","2.38","20240221"
"American States Water","AWR","2919.69","YES","2.18","20231106"
"Axos Financial","AX","2153.41","YES","0","20240125"
"Axonics","AXNX","2622.77","YES","0","20240306"
"Axon Enterprise","AXON","15486.53","YES","0","20231107"
"American Express","AXP","106724.79","YES","1.64","20240126"
"Axis Capital Holdings","AXS","4936.01","YES","3.04","20240124"
"Axsome Therapeutics","AXSM","3049.48","YES","0","20231106"
"Axalta Coating Systems","AXTA","6285.24","YES","0","20240124"
"Atlantica Sustainable Infrastructure PLC","AY","2090.7","YES","9.57","20231108"
"Acuity Brands","AYI","5023.14","YES",".32","20240108"
"Alteryx","AYX","2206.87","YES","0","20231106"
"AZEK","AZEK","3987.91","YES","0","20231128"
"AstraZeneca","AZN","197706","YES","1.43","20231109"
"AutoZone","AZO","43920.73","YES","0","20231205"
"Aspen Technology","AZPN","11181.05","YES","0","20231106"
"Azenta","AZTA","2728.87","YES","0","20231113"
"AZUL","AZUL","3283.72","YES","0","20231109"
"Boeing","BA","114570.5","YES","0","20240124"
"Alibaba","BABA","211623.25","YES","0","20231116"
"Bank of America","BAC","208922.52","YES","3.64","20240112"
"Booz Allen Hamilton","BAH","16135.98","YES","1.52","20240126"
"Ball","BALL","14981.04","YES","1.68","20231102"
"Brookfield Asset Management Ltd.","BAM","12148.59","YES","4.35","20231106"
"BancFirst","BANF","2680.8","YES","2.11","20240118"
"Credicorp","BAP","10064.9","YES","5.35","20231102"
"Atlanta Braves Holdings, Inc.","BATRA","2378.66","YES","0","20231103"
"Atlanta Braves Holdings, Inc.","BATRK","2176.84","YES","0","20231103"
"Baxter International","BAX","16605.01","YES","3.54","20231102"
"BlackBerry","BB","2078.11","YES","0","20231219"
"Banco Bradesco","BBD","30270.11","YES","1.21","20231114"
"BridgeBio Pharma","BBIO","4329.88","YES","0","20231102"
"Banco Bilbao Viscaya Argentaria","BBVA","47664.13","YES","3.44","20240207"
"Bath & Body Works, Inc.","BBWI","6755.48","YES","2.69","20231115"
"Best Buy","BBY","14357.59","YES","5.58","20231121"
"Brunswick","BC","4947.1","YES","2.29","20240201"
"Boise Cascade","BCC","3922.16","YES",".81","20240220"
"BCE","BCE","34538.7","YES","7.56","20231102"
"Banco De Chile","BCH","10541.13","YES","7.78","20240202"
"Brink's","BCO","3096.63","YES","1.32","20231107"
"Balchem","BCPC","3762.53","YES",".61","20240223"
"Barclays","BCS","24617","YES","4.14","20240221"
"Belden","BDC","3037.79","YES",".28","20231102"
"Becton, Dickinson and Company","BDX","73623.76","YES","1.43","20231109"
"Bloom Energy","BE","2098.41","YES","0","20231108"
"Beacon Roofing Supply","BECN","4604.13","YES","0","20231102"
"KE Hodlings","BEKE","18557.5","YES","0","20231108"
"Franklin Resources","BEN","11251.95","YES","5.32","20240129"
"Brookfield Renewable Partners","BEP","6216.67","YES","6.26","20231103"
"Brookfield Renewable","BEPC","4214.64","YES","5.75","20231103"
"Berry Global Group","BERY","6586.44","YES","1.79","20231116"
"Brown Forman","BF.A","27646.4","YES","1.43","20231206"
"BrownForman","BF.B","26927.31","YES","1.46","20231206"
"Bright Horizons Family Solutions","BFAM","4302.55","YES","0","20240215"
"BUNGE GLOBAL SA","BG","15409.24","YES","2.5","20240214"
"BGC Group, Inc.","BGC","3057.72","YES",".65","20240226"
"BeiGene","BGNE","17587.13","YES","0","20231108"
"Bausch Health","BHC","2555.81","YES","0","20231102"
"Brighthouse Financial","BHF","2950.23","YES","0","20231107"
"BHP Group Limited","BHP","146731.5","YES","5.47","20231128"
"Biohaven Ltd.","BHVN","2014.82","YES","0","20231108"
"Baidu","BIDU","36271.5","YES","0","20231121"
"Biogen","BIIB","34702.57","YES","0","20231108"
"Bilibili","BILI","5426.42","YES","0","20231205"
"BILL Holdings, Inc.","BILL","9453.99","YES","0","20231102"
"BioRad Laboratories","BIO","8068.65","YES","0","20240215"
"Brookfield Infrastructure Partners","BIP","11510.08","YES","6.1","20240201"
"BJ's Wholesale Club","BJ","9231.49","YES","0","20231117"
"The Bank of New York Mellon","BK","33620.04","YES","3.89","20240112"
"Black Hills","BKH","3250.85","YES","5.16","20240206"
"Booking Holdings","BKNG","98732.72","YES","0","20231102"
"Baker Hughes","BKR","35176.34","YES","2.3","20240122"
